Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Ceboidea,Cebidae,Saguinus,leucopus,9.7,0.946,NA,NA,NA,182.4,2,1436.6,23.1,NA,NA,NA,NA
Ceboidea,Cebidae,Saguinus,midas,9.78,0.905,NA,206.83,69.6,184.8,2.02,1606.8,25.3,0.05,NA,NA,0.991
Ceboidea,Cebidae,Saguinus,mystax,11.09,1.17,7,168.5,NA,240,1.93,1948.5,25.6,0.21,1.85,3.5777,NA
Ceboidea,Cebidae,Saguinus,niger,9.48,1.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceboidea,Cebidae,Saguinus,oedipus,9.76,0.936,5.8,233.06,49.85,277.2,1.9,1202.9,26.3,0.06,1.9,6.8742,1
Ceboidea,Cebidae,Saguinus,tripartitus,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceboidea,Cebidae,Saimiri,boliviensis,NA,1.36,60,NA,NA,363.6,1.02,1715,24.3,NA,NA,NA,1.614
Ceboidea,Cebidae,Saimiri,oerstedii,25.07,1.319,55.3,NA,362.93,NA,1.01,2280,26.6,0.1,3.4,9.5285,NA
Ceboidea,Cebidae,Saimiri,sciureus,24.14,1.152,38,383.25,177.41,324,1,1868.6,25.3,0.68,1.8,1.9345,1.411
Cercopithecoidea,Cercopithecidae,Semnopithecus,entellus,110.93,1.6,30.2,507.95,402.1,300,1.02,788.2,25.4,1.3,0.5,0.3886,2.058
Hominoidea,Hylobatidae,Symphalangus,syndactylus,123.5,1.109,4,1003.75,635.38,456,1.02,2267.2,24.2,0.313,0.75,1.189,1.189
Tarsioidea,Tarsiidae,Tarsius,bancanus,3.16,1.041,NA,240.29,78.55,144,1,2563.9,24.7,0.04,1.8,7.976,NA
Tarsioidea,Tarsiidae,Tarsius,dentatus,NA,NA,NA,NA,NA,NA,1.01,2059.9,18.6,0.004,NA,NA,NA
Tarsioidea,Tarsiidae,Tarsius,syrichta,3.36,1.145,NA,NA,82.49,180,1.01,1831,24.1,0.048,1.38,5.5822,NA
Cercopithecoidea,Cercopithecidae,Theropithecus,gelada,133.33,1.624,10,766.5,494.95,336,1.01,924.9,17.3,1.16,2.5,2.0571,3.229
Cercopithecoidea,Cercopithecidae,Trachypithecus,auratus,NA,NA,14.5,NA,NA,373.2,NA,2012,24.4,0.03,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Trachypithecus,cristatus,57.86,1.11,32.4,NA,362.93,373.2,1.01,2428.6,25,0.12,0.35,0.8954,1.697
Cercopithecoidea,Cercopithecidae,Trachypithecus,geei,81.3,1.137,13.3,NA,NA,NA,1.02,1479.1,17.6,2.22,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Trachypithecus,johnii,84.6,1.071,NA,NA,NA,408,1.02,1280.4,25.7,0.08,NA,NA,NA
Cercopithecoidea,Cercopithecidae,Trachypithecus,obscurus,62.12,1.086,10.2,NA,362.93,300,1.01,2019.8,25.5,0.33,0.48,0.7405,1.814
Cercopithecoidea,Cercopithecidae,Trachypithecus,phayrei,72.84,1.082,NA,456.25,305.87,339.6,1,1458.7,21.3,0.958,1,0.9054,NA
Cercopithecoidea,Cercopithecidae,Trachypithecus,pileatus,103.64,1.08,7.8,NA,NA,302.4,NA,1903.1,20.3,0.43,0.325,0.4392,1.887
Cercopithecoidea,Cercopithecidae,Trachypithecus,vetulus,61.29,1.444,7.9,783.83,245.78,276,1.01,1434.1,25.8,0.02,NA,NA,1.791
Lemuroidea,Lemuridae,Varecia,rubra,31.08,1.078,4.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemuroidea,Lemuridae,Varecia,variegata,32.12,1.031,2.8,365,90.73,384,2.16,1885.8,19.9,1.39,1.021,0.7675,1.038
